Fascia,Cognome e Nome,Cognome e Nome normalized,Uppercase Surname,Cognome,Nome,Genere,Ateneo,Facoltà,GSD 2024,SSD 2024,SSD 2015,SC 2015,Struttura di afferenza,Servizio prestato in altro ateneo,molteplicità,OpenAlex ID,OpenAlex Name,ORCID,H-Index,I10-Index,Works Count,Cited By Count,Institution (OpenAlex)
Ordinario,ABATE Andrea Francesco,ABATE Andrea Francesco,ABATE,Abate,Andrea Francesco,M,SALERNO,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica,,,https://openalex.org/A5038161482,Andrea F. Abate,0000-0002-0472-0318,18.0,37.0,131.0,1883.0,University of Salerno
Associato confermato,ABBATTISTA Fabio,ABBATTISTA Fabio,ABBATTISTA,Abbattista,Fabio,M,BARI,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica,,,https://openalex.org/A5055377934,Fabio Abbattista,0000-0003-0460-8753,11.0,12.0,56.0,324.0,University of Bari Aldo Moro
Ordinario,ACAMPORA Giovanni,ACAMPORA Giovanni,ACAMPORA,Acampora,Giovanni,M,Napoli Federico II,,01/INFO-01,INFO-01/A,INF/01,01/B1,"Fisica ""Ettore Pancini""",,,https://openalex.org/A5023375107,Giovanni Acampora,0000-0003-4082-5616,30.0,81.0,240.0,3621.0,University of Naples Federico II
Associato confermato,ACCIARO Vincenzo,ACCIARO Vincenzo,ACCIARO,Acciaro,Vincenzo,M,CHIETI-PESCARA,,01/INFO-01,INFO-01/A,INF/01,01/B1,Economia,,,https://openalex.org/A5076111709,Vincenzo Acciaro,0000-0001-5824-3935,5.0,2.0,28.0,53.0,University of Chieti-Pescara
Ordinario,ACETO Luca,ACETO Luca,ACETO,Aceto,Luca,M,Gran Sasso Science Institute,,01/INFO-01,INFO-01/A,INF/01,01/B1,Area di Informatica,,,https://openalex.org/A5041913577,Luca Aceto,0000-0002-2197-3018,30.0,115.0,402.0,4174.0,Reykjavík University
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ADORNETTO Carlo,ADORNETTO Carlo,ADORNETTO,Adornetto,Carlo,M,della CALABRIA,,01/INFO-01,INFO-01/A,,,MATEMATICA E INFORMATICA - DEMACS,,,https://openalex.org/A5045483261,Carlo Adornetto,0000-0002-9734-1017,3.0,1.0,16.0,46.0,University of Calabria
Associato confermato,AGOSTINI Alessandra,AGOSTINI Alessandra,AGOSTINI,Agostini,Alessandra,F,MILANO-BICOCCA,,01/INFO-01,INFO-01/A,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",,,https://openalex.org/A5110004806,Alessandra Agostini,,19.0,28.0,70.0,1119.0,Agenzia Regionale Prevenzione e Ambiente della Regione Emilia-Romagna
Associato,AGUZZOLI Stefano,AGUZZOLI Stefano,AGUZZOLI,Aguzzoli,Stefano,M,MILANO,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',,,https://openalex.org/A5101825075,Stefano Aguzzoli,0000-0002-7588-5048,16.0,23.0,86.0,657.0,University of Milan
Associato,AHMETOVIC Dragan,AHMETOVIC Dragan,AHMETOVIC,Ahmetovic,Dragan,M,MILANO,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',,,https://openalex.org/A5048989427,Dragan Ahmetovic,0000-0001-5745-1230,26.0,47.0,100.0,1936.0,University of Milan
Associato,AIOLLI Fabio,AIOLLI Fabio,AIOLLI,Aiolli,Fabio,M,PADOVA,,01/INFO-01,INFO-01/A,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",,,https://openalex.org/A5036243123,Fabio Aiolli,0000-0002-5823-7540,20.0,47.0,125.0,1859.0,University of Padua
